Easting,Northing
489275,4867298
489277,4867303
489278,4867306
489280,4867310
489280,4867312
489281,4867317
489281,4867320
489281,4867326
489281,4867329
489280,4867334
489277,4867341
489275,4867347
489273,4867352
489265,4867364
489261,4867374
489255,4867382
489236,4867416
489229,4867427
489220,4867440
489210,4867452
489201,4867464
489192,4867476
489177,4867493
489170,4867502
489164,4867511
489153,4867526
489148,4867536
489144,4867545
489137,4867558
489127,4867579
489120,4867601
489115,4867616
489113,4867621
489112,4867627
489110,4867635
489109,4867647
489105,4867703
489104,4867718
489102,4867727
489098,4867738
489094,4867746
489081,4867776
489079,4867781
489078,4867788
489078,4867798
489077,4867809
489077,4867827
489077,4867840
489077,4867851
489075,4867866
489074,4867878
489072,4867887
489069,4867897
489066,4867906
489063,4867915
489053,4867937
489044,4867962
489036,4867981
489029,4867999
489018,4868033
489013,4868048
488997,4868102
488991,4868122
488986,4868140
488979,4868159
488969,4868191
488962,4868215
488951,4868249
488946,4868267
488944,4868273
488943,4868282
488941,4868298
488941,4868306
488940,4868315
488940,4868329
488941,4868345
488941,4868363
488942,4868382
488943,4868402
488944,4868435
488945,4868467
488945,4868480
488946,4868548
488947,4868641
488946,4868652
488943,4868668
488935,4868688
488927,4868701
488866,4868802
488851,4868827
488801,4868911
488793,4868921
488780,4868935
488767,4868949
488747,4868966
488725,4868986
488702,4869007
488684,4869026
488670,4869041
488648,4869073
488640,4869084
488632,4869090
488621,4869099
488585,4869123
488565,4869138
488562,4869145
488561,4869147
488560,4869152
488560,4869157
488562,4869163
488564,4869166
488567,4869169
488573,4869174
488578,4869177
488581,4869178
488588,4869179
488597,4869180
488614,4869180
488646,4869178
488655,4869179
488664,4869180
488676,4869185
488688,4869191
488696,4869198
488706,4869207
488726,4869229
488730,4869235
488734,4869241
488739,4869251
488741,4869259
488742,4869263
488742,4869270
488740,4869278
488737,4869289
488726,4869308
488720,4869317
488713,4869329
488702,4869353
488699,4869371
488698,4869378
488695,4869385
488691,4869391
488687,4869399
488678,4869408
488674,4869412
488672,4869415
488668,4869417
488648,4869420
488639,4869422
488629,4869426
488625,4869429
488621,4869434
488615,4869446
488614,4869452
488614,4869461
488616,4869479
488623,4869502
488626,4869521
488626,4869527
488626,4869534
488625,4869540
488622,4869550
488618,4869557
488614,4869565
488609,4869571
488603,4869578
488588,4869595
488556,4869639
488546,4869654
488541,4869665
488538,4869673
488537,4869680
488535,4869723
488535,4869754
488535,4869794
488535,4869840
488534,4869890
488533,4869930
488533,4869968
488532,4869998
488531,4870014
488529,4870026
488526,4870049
488522,4870068
488514,4870092
488505,4870131
488495,4870165
488488,4870187
488482,4870214
488478,4870228
488471,4870241
488466,4870249
488459,4870259
488447,4870270
