"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@bendparksandrec has a paid GIS internship! https://t.co/XAYilcXGN4",FALSE,0,"bendparksandrec",2018-03-06 21:21:13,FALSE,NA,"971133623771410432","74272509","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"Look at all these lovely UO Geography Mappy Folks at the 2018 Portland Cartography Symposium! https://t.co/zep2QBDhoK",FALSE,9,NA,2018-03-03 01:13:34,FALSE,NA,"969742544581025792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"@MaptimeEUG @JoannaMerson is holding a worhop on #Carto Mar6 4-5pm in Knight Lib 144 RSVP here! https://t.co/0T5TZJjmjr",FALSE,0,"MaptimeEUG",2018-02-28 18:51:36,FALSE,NA,"968921646319808512","4194344779","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"@MaptimeEUG @JoannaMerson is holding a workhop on #Carto Tues, 3/6 4-5pm in Knight Lib 144. RSVP here: https://t.co/0T5TZJjmjr",FALSE,2,"MaptimeEUG",2018-02-28 18:24:57,FALSE,NA,"968914939724251136","4194344779","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"You never know! https://t.co/oYSf5YhWKR",FALSE,1,NA,2018-02-28 18:22:08,FALSE,NA,"968914230068981760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"InfoGraphics Lab in the NY Times! https://t.co/C9Dn1hI4v5",FALSE,8,NA,2018-02-24 21:36:55,FALSE,NA,"967513698389471232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"Given the opportunity, a geographer will make a map out of anything! Thanks Justin! #Geography #TeaTime https://t.co/5JzFhf8rxh",FALSE,8,NA,2018-02-23 00:03:15,FALSE,NA,"966825745669488640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",3,FALSE,FALSE,NA,NA
"Don't forget: Environmental Connect is tonight from 4-6pm in the EMU Crater Lake Room!",FALSE,1,NA,2018-02-22 23:24:05,FALSE,NA,"966815888715366400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"Enjoying the snow while it lasts, but also loving the heat here in Condon! https://t.co/MmD2deVzPi",FALSE,0,NA,2018-02-22 21:56:31,FALSE,NA,"966793853377200128",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"Hope to see you on the 6th!!! https://t.co/jIL74lRUNL",FALSE,2,NA,2018-02-22 21:51:54,FALSE,NA,"966792692318445569",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"#universityoforegon spring schedule is out tomorrow. See #geography 2018-2019 course plan to get a head start!… https://t.co/DjwO1dL1K6",FALSE,0,NA,2018-02-08 21:50:33,TRUE,NA,"961718922117505024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"Free cartography symposium in Portland! https://t.co/qjpFXFVUl0",FALSE,4,NA,2018-02-08 21:48:07,FALSE,NA,"961718310634110976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"Did you watch the SpaceX launch of the Falcon Heavy? If you missed it, here is what it looked like! https://t.co/QqNH69yF0s via @YouTube",FALSE,0,NA,2018-02-07 00:39:04,FALSE,NA,"961036554167771136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"Looking for an environmentally focused job, internship, or volunteer opportunity? Mark your calendars! Attend the 5… https://t.co/kg12p3nL94",FALSE,0,NA,2018-02-07 00:32:22,TRUE,NA,"961034870234349568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"Exclusive: Dinosaur-Era Bird Found Trapped in Amber https://t.co/dQSfXNfqmM via @NatGeo",FALSE,0,NA,2018-02-02 18:45:20,FALSE,NA,"959497982843371520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"Don't forget peeps: MapsxNW is going to be holding another USAID Youthmappers event to map flood infrastructure for… https://t.co/cA03q9W9ba",FALSE,2,NA,2018-01-26 16:56:06,TRUE,NA,"956933780211613698",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"Wow. He gets it! https://t.co/gy3b6TG6Mh",FALSE,11,NA,2018-01-17 04:19:34,FALSE,NA,"953481900244398081",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",3,FALSE,FALSE,NA,NA
"@Dr_M_Jackson_ @TEDFellow @uocas",FALSE,1,"uogeog",2018-01-10 04:32:24,FALSE,"950774729077485569","950948412664430592","3062098405","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"Huge Congratulations to @Dr_M_Jackson_ for being selected as a 2018 @TEDFellow Well done! Look for her talks on the… https://t.co/ftA6CTk6pf",FALSE,2,NA,2018-01-09 17:02:14,TRUE,NA,"950774729077485569",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"@NatGeo's Photo of the Day by  Peter Nestler, who spend 18 hours waiting for the perfect shot of Three Peaks in the… https://t.co/qqx4owxV6k",FALSE,1,"NatGeo",2018-01-05 23:08:41,TRUE,NA,"949417398154665984","17471979","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"2017 was California’s largest and most destructive fire season in a decade https://t.co/eoTL91ue2V Congrats… https://t.co/OmeL2iRHZ9",FALSE,6,NA,2018-01-04 17:19:40,TRUE,NA,"948967178086182914",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"Thursday, Nov 16th, Geography Club will be hosting a MapTime event at 3:30 in Knight Library 144. Come check it out!",FALSE,0,NA,2017-11-17 00:02:49,FALSE,NA,"931311626128470016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"Don't  miss out on what the Geography Department has to offer this winter, check out the classes by clicking the li… https://t.co/axgoLevzil",FALSE,1,NA,2017-11-16 23:52:27,TRUE,NA,"931309018722664448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"Today's highlights!

Photo competition: ""What does civil rights at the UO look like to you? Or not?"" Post to FB or… https://t.co/oCPBbvYFZH",FALSE,0,NA,2017-11-13 18:55:44,TRUE,NA,"930147184447647744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"It's Geography Awareness Week! Read all the events here! https://t.co/m8Pvb5RuiA",FALSE,1,NA,2017-11-13 18:54:43,FALSE,NA,"930146926611243008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"Career Week at UofOregon! @uocareercenter Here are some tips and ideas for our geographers to make the most of it https://t.co/QYpJ7JME4e",FALSE,0,NA,2017-11-06 20:16:21,FALSE,NA,"927630757278883840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"They wanted the world to see their beautiful home, so they found a way to get Google Maps interested! Check it out! https://t.co/UXwKfpDvfm",FALSE,0,NA,2017-11-03 21:21:52,FALSE,NA,"926560081260396544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"Center ranks UO in top 2 percent of world's universities! https://t.co/cpM5on6Coi",FALSE,4,NA,2017-11-03 21:14:34,FALSE,NA,"926558243136061442",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"Funding available to undergrads and grads from the #NorthwestScientificAssociation!
https://t.co/ElEGHUgSsI",FALSE,1,NA,2016-12-20 17:13:45,FALSE,NA,"811258300243312642",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"Check it out! I donated to Memorial marker for Susan Hardwick https://t.co/qxorG9vl5N via @gofundme",FALSE,1,NA,2016-12-09 18:11:46,FALSE,NA,"807286633099706368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"#UOInfoGraphicsLab is looking for a PhD Student Assistant for Fall 2017. Spread the word!",FALSE,0,NA,2016-12-02 19:17:15,FALSE,NA,"804766397049884672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"more tips on cover letters! https://t.co/PR5So7cLXM",FALSE,0,NA,2016-11-30 17:13:07,FALSE,NA,"804010383396642816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"#WWGD? #WhyofWhere Find #PacNW #geographyjobs and resources here! https://t.co/MlT0osj3L8",FALSE,0,NA,2016-11-30 17:11:34,FALSE,NA,"804009993133375489",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"Plz check out a #gofundme campaign for memorialize #geography prof Dr Susan Hardwick on the @Univ_Of_Oregon campus https://t.co/sGSWozJZHw",FALSE,2,NA,2016-11-18 16:56:47,FALSE,NA,"799657616548843520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",3,FALSE,FALSE,NA,NA
"@uocas dean, Geography Prof and #duckviking, Andrew Marcus. https://t.co/PXlDGVV3U9",FALSE,1,"uocas",2016-10-31 17:50:24,FALSE,NA,"793148128199401472","1531429226","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"We miss you @dylanlmolnar! Congrats on presenting a beautiful map at #nacis2016 with @rudyomri ! https://t.co/e1wg742caS",FALSE,4,NA,2016-10-20 15:32:40,FALSE,NA,"789127201585111040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"Some sage advice about interning. https://t.co/L4sAcWaKQI",FALSE,0,NA,2016-10-20 15:29:12,FALSE,NA,"789126328754708480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"#WWGD Visit our #JobsForGeographers page! https://t.co/XIjg2EAd2Q Check out all the opportunities in @PierceCo",FALSE,0,NA,2016-10-20 15:27:12,FALSE,NA,"789125824872013825",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"@uocareercenter will be hosting a wkshp to help #geographers ID your interests and skills as you #careerprep. 10/25… https://t.co/azji7WWB7f",FALSE,0,"uocareercenter",2016-10-18 22:13:53,TRUE,NA,"788503395388624896","17136221","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"Come be a mobile web developer for #UOInfoGraphicsLab! Deadline extended! https://t.co/JOjagZT0Rc",FALSE,2,NA,2016-10-03 22:32:33,FALSE,NA,"783072273532006401",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",2,FALSE,FALSE,NA,NA
"A thing of beauty! https://t.co/sjIe09v8fo",FALSE,0,NA,2016-09-27 20:51:17,FALSE,NA,"780872460031758336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"@msmlejackson on the over of the #Fulbright Fellowship annual report. https://t.co/bIWqnRdnXK",FALSE,0,NA,2016-09-27 20:50:04,FALSE,NA,"780872154317336576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"#GIS is about more than software. #problemsolving is a key skill! https://t.co/ceuDxYyQTl",FALSE,0,NA,2016-09-13 15:52:04,FALSE,NA,"775723732153229312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",2,FALSE,FALSE,NA,NA
"#Whoknew? There's a #geography to where you should allow a tomato to vine-ripen. https://t.co/IWmJ6c8HKi",FALSE,0,NA,2016-09-12 15:28:06,FALSE,NA,"775355314161881088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"#UOInfoGraphicsLab is hiring a mobile/web app developer! Aps due 9/15. https://t.co/JOjagZT0Rc",FALSE,0,NA,2016-09-08 18:10:34,FALSE,NA,"773946647076229120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"#UOInfoGraphicsLab @Jim_Meacham is hiring student workers! #doit #WWGD #opportunityknocks https://t.co/xwMX8rFAq8",FALSE,0,NA,2016-09-07 21:30:50,FALSE,NA,"773634656298078208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"@aroundO highlights two UOGeography @Fulbright winners! Congrats Belen and Olivia! https://t.co/3NK0gqMfxH",FALSE,2,"aroundO",2016-09-07 20:31:09,FALSE,NA,"773619637154000901","21128472","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"A great way to introduce geography! #WWGD? Solve real-world problems! https://t.co/rrhfNyRC6w",FALSE,0,NA,2016-08-31 14:44:18,FALSE,NA,"770995636904693760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"#geographynotgeology #oregonquarterly @msmlejackson works on #glaciers, #climatechange &amp; #culture in #Iceland https://t.co/BRM848IELO",FALSE,2,NA,2016-08-31 14:40:34,FALSE,NA,"770994696004919296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",1,FALSE,FALSE,NA,NA
"@NatGeo @Riley_Champine @UOAlumni map on #Papahanaumokuakea nat'l monument in HI! https://t.co/EEbmLXvoRQ #GoDucks",FALSE,0,"NatGeo",2016-08-26 13:59:09,FALSE,NA,"769172334850678785","17471979","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"Jim Meacham's #UOInfoGraphicsLab &amp; a reflection on #atlasofyellowstone Understanding Yellowstone https://t.co/OhSDnQCIPF via @ucpress",FALSE,1,NA,2016-08-25 17:17:36,FALSE,NA,"768859886595649537",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
"Join #Geohackweek in #Seattle during #GeographyAwarenessWeek! https://t.co/znIsYw7oCb",FALSE,0,NA,2016-08-24 20:48:08,FALSE,NA,"768550480779677696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uogeog",0,FALSE,FALSE,NA,NA
