"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Ducks hoops really heats up as both @OregonWBB and @OregonMBB open @pac12 play. The No. 5-ranked women host the Uni… https://t.co/CQpknruxGQ",FALSE,89,NA,2019-01-04 20:00:25,TRUE,NA,"1081279203566338048",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",14,FALSE,FALSE,NA,NA
"The UO Summer Academy to Inspire Learning, the college access program aimed at getting middle and high school stude… https://t.co/XyEzFpuHt1",FALSE,12,NA,2019-01-04 03:40:04,TRUE,NA,"1081032490037465088",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",3,FALSE,FALSE,NA,NA
"Developer shares possible vision for former Romania property, including preservation of the historic structure:… https://t.co/YH4CZ8fEvG",FALSE,32,NA,2019-01-04 00:15:08,TRUE,NA,"1080980915118063619",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",3,FALSE,FALSE,NA,NA
"Thanks in large part to the @UOKnightCampus's innovative internship program, the UO granted more master’s degrees i… https://t.co/ONV2nM0ZTH",FALSE,18,NA,2019-01-03 22:25:08,TRUE,NA,"1080953232619421696",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",0,FALSE,FALSE,NA,NA
"#SoRad! https://t.co/GirJI4r2sE",FALSE,14,NA,2019-01-03 21:07:18,FALSE,NA,"1080933644758208513",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uoregon",2,FALSE,FALSE,NA,NA
"As the 116th Congress convenes today, @Oregon_Law professor Elizabeth Tippett writes how the ‘wave of women’ now in… https://t.co/IxT3YOVTHr",FALSE,16,NA,2019-01-03 20:00:19,TRUE,NA,"1080916788433641472",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",1,FALSE,FALSE,NA,NA
"Campus leaders offer guidance to UO researchers and others conducting sponsored activities funded by agencies affec… https://t.co/Gf9OqS5pQ9",FALSE,7,NA,2019-01-03 17:08:28,TRUE,NA,"1080873542231773184",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",0,FALSE,FALSE,NA,NA
".@uoeducation's Nichole Kelly is researching whether #exercise could also help #rural #school kids eat healthier: “… https://t.co/Bd68Y0w4z9",FALSE,13,NA,2019-01-02 20:05:17,TRUE,NA,"1080555649820516352",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",3,FALSE,FALSE,NA,NA
"If you made a New Year's resolution and really want to keep it this year, having sound strategies in place is impor… https://t.co/DsNdtxYgG6",FALSE,20,NA,2019-01-02 17:50:00,TRUE,NA,"1080521606169014272",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",6,FALSE,FALSE,NA,NA
"We loved the spirit Duck fans showed at yesterday's @RedboxBowl as they rooted @oregonfootball on to victory!… https://t.co/Y8gu1uL9ed",FALSE,423,NA,2019-01-02 00:50:10,TRUE,NA,"1080264954341539840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uoregon",25,FALSE,FALSE,NA,NA
"Thanks to the generosity of Terri and Jon Anderson, and Nancy and Dave Petrone, the university will establish facul… https://t.co/87W4d2dSRZ",FALSE,28,NA,2019-01-01 19:50:08,TRUE,NA,"1080189449185710081",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",1,FALSE,FALSE,NA,NA
"Students in @uoregondesign's sports product design graduate program use the latest in technology as they work to cr… https://t.co/Q1tLBx5oAb",FALSE,12,NA,2019-01-01 17:01:28,TRUE,NA,"1080147005056401414",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",1,FALSE,FALSE,NA,NA
"Hau<U+02BB>oli makahiki hou, Hawaii Ducks! https://t.co/OGWWjDvqsy",FALSE,104,NA,2019-01-01 10:01:03,FALSE,NA,"1080041201083039745",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",4,FALSE,FALSE,NA,NA
"We didn't forget about Alaska Ducks — happy New Year! https://t.co/kOJ2cY2soo",FALSE,67,NA,2019-01-01 09:01:12,FALSE,NA,"1080026142223069186",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",1,FALSE,FALSE,NA,NA
"Toasting our West Coast Ducks and wishing all a happy, healthy 2019! https://t.co/3Ju3KA7kZB",FALSE,325,NA,2019-01-01 08:01:03,FALSE,NA,"1080011003285438465",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",44,FALSE,FALSE,NA,NA
"Here's to a new year, Mountain West Ducks! https://t.co/HYHREshYjT",FALSE,110,NA,2019-01-01 07:00:47,FALSE,NA,"1079995838666018816",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",5,FALSE,FALSE,NA,NA
"Hey Midwest Ducks! Have a great 2019! https://t.co/6aGmWgEovR",FALSE,144,NA,2019-01-01 06:00:58,FALSE,NA,"1079980781953523713",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",14,FALSE,FALSE,NA,NA
"Wishing East Coast Ducks a happy, healthy, 2019! https://t.co/MBNBNrOyNd",FALSE,177,NA,2019-01-01 05:01:36,FALSE,NA,"1079965844627750912",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",24,FALSE,FALSE,NA,NA
"On New Year's Eve, we recall what was an inspiring, gratifying, groundbreaking, electrifying, eye-opening, heart-wa… https://t.co/Ta8KVk0tHj",FALSE,42,NA,2019-01-01 02:35:05,TRUE,NA,"1079928972094459905",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",1,FALSE,FALSE,NA,NA
"As the Ducks play their final game of the season and 2018 comes to a close, we look way back to the beginning of it… https://t.co/q3iIgdwlLc",FALSE,90,NA,2018-12-31 19:40:08,TRUE,NA,"1079824545643679744",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",9,FALSE,FALSE,NA,NA
"This is it, Ducks, the final game day of 2018! Oregon and Michigan State kick off at noon today at Levi's Stadium i… https://t.co/93z0nOnzYX",FALSE,119,NA,2018-12-31 16:30:37,TRUE,NA,"1079776854041657344",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",7,FALSE,FALSE,NA,NA
"@dustinfb89 @DuckFootball @oregonfootball @RedboxBowl https://t.co/JBvajH6m9P",FALSE,1,NA,2018-12-31 05:48:41,FALSE,NA,"1079615303212924929",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uoregon",0,FALSE,FALSE,NA,NA
"The launch of Duckflix was solidly in our #bestof2018 list.

https://t.co/SxObBBFKF0",FALSE,81,NA,2018-12-31 01:00:29,FALSE,NA,"1079542775597666304",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",7,FALSE,FALSE,NA,NA
"The hatching of the ospreys atop @Oregon_Law was among our favorite moments of 2018. #bestof2018

https://t.co/0Wgjl2DcgT",FALSE,35,NA,2018-12-30 22:10:06,FALSE,NA,"1079499898226130944",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",1,FALSE,FALSE,NA,NA
"Earthquakes, the Black Panther Party, and the Supreme Court are the latest UO experts presentations added to the ""W… https://t.co/6bUik6OIsM",FALSE,7,NA,2018-12-30 19:30:24,TRUE,NA,"1079459708258447360",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",2,FALSE,FALSE,NA,NA
"Commencement is a highlight of every year! #bestof2018

https://t.co/SMNpFuL26L",FALSE,39,NA,2018-12-30 16:55:08,FALSE,NA,"1079420633505771523",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",1,FALSE,FALSE,NA,NA
"The Eagle Creek Fire destroyed nearly 48,000 acres of the Columbia River Gorge. Students from the @UOsojc’s multime… https://t.co/PrdsEzfrCo",FALSE,21,NA,2018-12-30 00:50:04,TRUE,NA,"1079177765889470467",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",3,FALSE,FALSE,NA,NA
"If you are looking to make last-minute plans to watch @oregonfootball go against Michigan State in the @RedboxBowl,… https://t.co/JYlzmdSLlz",FALSE,82,NA,2018-12-29 22:25:05,TRUE,NA,"1079141281916469249",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",8,FALSE,FALSE,NA,NA
"The 10th (!!!) Pac-12 title by our women’s cross country team was among the highlights of 2018. #bestof2018… https://t.co/1vQ9L81hXI",FALSE,88,NA,2018-12-29 20:15:10,TRUE,NA,"1079108584892440578",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",4,FALSE,FALSE,NA,NA
"Looking back at what's been a momentous year for us: https://t.co/v0q95uZfH8 https://t.co/jrWr0PJcyi",FALSE,40,NA,2018-12-29 16:50:10,FALSE,NA,"1079056996685484033",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",4,FALSE,FALSE,NA,NA
"Alumnus James Ivory wins an Oscar! #bestof2018

https://t.co/twErJXbh8a",FALSE,57,NA,2018-12-29 03:10:06,FALSE,NA,"1078850618368892928",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",3,FALSE,FALSE,NA,NA
"The unveiling of the plans for Hayward Field made our #bestof2018: 

https://t.co/7RyrqTY1ZJ",FALSE,327,NA,2018-12-29 00:30:16,FALSE,NA,"1078810396692279301",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",39,FALSE,FALSE,NA,NA
"Whether you are going to the game and want to tailgate with fellow Ducks or find a watch party to catch the action,… https://t.co/jJKoIVU8Kt",FALSE,131,NA,2018-12-28 22:15:12,TRUE,NA,"1078776404483936257",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",9,FALSE,FALSE,NA,NA
"Thanks to Nancy and Dave Petrone, and Terri and Jon Anderson, whose twin matching gifts will create new chairs in… https://t.co/XZqvEjZkzD",FALSE,35,NA,2018-12-28 20:05:12,TRUE,NA,"1078743690670149633",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",4,FALSE,FALSE,NA,NA
"@Twitter <U+0001F986><U+0001F986><U+0001F986><U+0001F986>
<U+0001F986>           <U+0001F986>
<U+0001F986>           <U+0001F986>
<U+0001F986>           <U+0001F986>
<U+0001F986><U+0001F986><U+0001F986><U+0001F986><U+0001F986>

<U+0001F986>           <U+0001F986>
<U+0001F986>           <U+0001F986>
<U+0001F986>           <U+0001F986>
<U+0001F986><U+0001F986><U+0001F986><U+0001F986>

<U+0001F986><U+0001F986><U+0001F986><U+0001F986>… https://t.co/rqleTvtUgL",FALSE,850,"Twitter",2018-12-28 18:31:24,TRUE,"1078674463200366592","1078720085718638593","783214","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","uoregon",71,FALSE,FALSE,NA,NA
"Turn on out, PDX Ducks, and join the flock at this @RedboxBowl watch party! And if you are elsewhere, here's a list… https://t.co/KOMEKwctvG",FALSE,14,NA,2018-12-28 17:12:32,TRUE,NA,"1078700235793166337",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uoregon",1,FALSE,FALSE,NA,NA
"It's hard to believe that everything is “fake news” when the journalist you meet at back-to-school night is not jus… https://t.co/LmoS5y6Y7t",FALSE,17,NA,2018-12-28 16:01:50,TRUE,NA,"1078682444948217858",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",5,FALSE,FALSE,NA,NA
"It was sci-fi, now it's real life: UO sports product design students use 3D scanning and printing technology to cre… https://t.co/hHF8bkDmqI",FALSE,17,NA,2018-12-28 03:00:32,TRUE,NA,"1078485825921400833",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",2,FALSE,FALSE,NA,NA
".@Marcilynn_Burke, dean of @Oregon_Law and the Dave Frohnmayer Chair in Leadership and Law, talks w/ ""UO Today"" abo… https://t.co/X5RxrafNPU",FALSE,17,NA,2018-12-16 20:25:06,TRUE,NA,"1074400042361020417",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",4,FALSE,FALSE,NA,NA
"PeaceHealth Rides, the community bike-sharing program with the distinctive blue bikes, passed its six-month anniver… https://t.co/1vPbXa2Bzl",FALSE,38,NA,2018-12-16 00:25:04,TRUE,NA,"1074098046181490688",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",7,FALSE,FALSE,NA,NA
"Earthquakes, the Black Panther Party, and the Supreme Court are the latest UO experts presentations added to the ""W… https://t.co/KHBMaJVL0e",FALSE,6,NA,2018-12-15 16:25:08,TRUE,NA,"1073977266496028672",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",0,FALSE,FALSE,NA,NA
"Thanks again to everyone who came out to last Friday's @LaneArtsCouncil #FirstFridayArtWalk and helped us open… https://t.co/TNCNb9jTal",FALSE,12,NA,2018-12-15 02:35:04,TRUE,NA,"1073768374289735680",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",0,FALSE,FALSE,NA,NA
"As wildfires increase, so does the threat of landslides. What does this mean for the Pacific Northwest? A UO geolog… https://t.co/27sQzVG7kD",FALSE,19,NA,2018-12-15 00:15:06,TRUE,NA,"1073733149610381312",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",5,FALSE,FALSE,NA,NA
"Need something to play in the background of your holiday gathering? The Duck's Holiday Fireplace features festive d… https://t.co/m2cGm5QrCB",FALSE,59,NA,2018-12-14 20:10:03,TRUE,NA,"1073671478883713024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uoregon",15,FALSE,FALSE,NA,NA
"Campus doesn't *totally* shut down during the break. Instead, we use the time to tackle a whole slew of projects. H… https://t.co/Io1DbjfmBJ",FALSE,15,NA,2018-12-14 17:25:09,TRUE,NA,"1073629981585170432",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",3,FALSE,FALSE,NA,NA
"@dpompper @Wiweck @EmeraldHRM @EmeraldGlobal Very cool! Congrats!",FALSE,1,"dpompper",2018-12-14 16:35:25,FALSE,"1073583916278198273","1073617466037743617","453403801","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uoregon",0,FALSE,FALSE,NA,NA
"Go check out what surely sounds like a fun evening featuring @EugeneOpera and @UOEnglishDept Professor Martha Bayle… https://t.co/YWTwmE84wf",FALSE,2,NA,2018-12-14 16:34:01,TRUE,NA,"1073617114609532928",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uoregon",2,FALSE,FALSE,NA,NA
"The best computer coders may have high levels of working memory, according to new UO research that captured real-ti… https://t.co/kZAWOK19fX",FALSE,9,NA,2018-12-14 01:40:06,TRUE,NA,"1073392153118867456",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",1,FALSE,FALSE,NA,NA
".@Marcilynn_Burke, dean of @Oregon_Law and the Dave Frohnmayer Chair in Leadership and Law, talks w/ ""UO Today"" abo… https://t.co/RXyNkCZfSk",FALSE,17,NA,2018-12-13 19:55:13,TRUE,NA,"1073305359509528576",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","uoregon",5,FALSE,FALSE,NA,NA
"@USGS_ShakeAlert @PNSN1 And here's some background about our faculty members' work on this valuable resource:… https://t.co/lE5zNPbhrM",FALSE,1,"USGS_ShakeAlert",2018-12-13 19:53:58,TRUE,"1073296029343145984","1073305045037281280","1029465278130708480","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uoregon",0,FALSE,FALSE,NA,NA
"Actually, here's a link that works: https://t.co/hkqQKn5VP6",FALSE,14,"uoregon",2018-12-13 17:25:57,FALSE,"1073266904389820417","1073267795079524352","40940457","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","uoregon",2,FALSE,FALSE,NA,NA
